GeneCluster	X1	X2	X3	P.value	Q.value
hsa.miR.32	3	3.63454589451163	2.96786904671233	4.20758877833333	0.0199886447066217	0.0380645004461025
hsa.miR.590.3p	3	1.6091281352093	0.73247015109589	2.7558646125	0.0203018617234085	0.03847686174246
hsa.miR.1287	3	3.23323340753488	3.17304408616438	4.56320696166667	0.0203463372330178	0.0383783991409531
hsa.miR.582.5p	3	1.50608409162791	0.308853660821918	3.1206279975	0.0209993783947668	0.0394233613260244
hsa.miR.369.5p	3	0.929469142930233	0.491485154931507	1.06087711166667	0.0211024195288826	0.0394308120774427
hsa.miR.26a	3	9.67928991023256	9.36049350136986	9.68188003916667	0.0217791160122011	0.0405050849198881
hsa.miR.99a	2	8.07589097241861	8.57392071328767	8.17967267583333	0.0223202928233905	0.0413184955521367
hsa.miR.19a	3	4.36441588325581	2.75341774219178	6.71397370166667	0.022400226558487	0.041274491529064
hsa.miR.432	1	1.39039388148837	1.08823596767123	1.15101159333333	0.0226157644518599	0.0414796048471901
hsa.miR.653	1	3.44349696981395	3.1574911309589	2.59653925416667	0.022824273189247	0.041670003345506
hsa.miR.760	3	1.0952707147907	0.294495724794521	1.75437112	0.0234461444632049	0.0426098881112125
hsa.miR.326	1	4.80203969976744	4.3088315969863	4.7680599025	0.0236741848348921	0.0428287525649412
hsa.miR.33a	3	3.60538839455814	2.39796342821918	5.06773739083333	0.0241681128302341	0.0435244746897429
hsa.miR.217	1	2.72746315195349	2.16896641780822	2.56668983916667	0.0243262971904566	0.0436120102783862
hsa.miR.134	1	7.83021542018605	7.59377379972603	7.3783869925	0.0248237226576962	0.0443042225011797
hsa.miR.664.	1	1.62410902851163	1.38430474958904	1.44637163666667	0.0251868187548672	0.0447515797519516
hsa.miR.23a	3	10.4680375049767	9.98410969876712	10.9252965933333	0.0259301691114715	0.0458675880282918
hsa.let.7g.	3	4.83930146706977	4.06203526205479	5.69603043583333	0.0261043816125389	0.0459714331052677
hsa.miR.106b	3	6.81463456525581	5.85608496780822	8.16786938333333	0.0262477633164436	0.0460203074887425
hsa.miR.323b.3p	1	1.67653769204651	1.16740566520548	1.67310910416667	0.0267312978144497	0.0466625286410131
hsa.miR.133a	3	0.685144073488372	-0.00866364424657534	1.1870915425	0.028308151682326	0.0491993203911168
hsa.miR.374a	3	4.02665776460465	3.36456777287671	4.815038235	0.0289552171621337	0.0498882096559706
